strategy,n_days,cumulative_return,annualized_return,annualized_vol,sharpe,sortino,max_drawdown,calmar,hit_rate
AAPL/ml,1380,-0.3294798685615241,-0.07038892487658699,0.2783602035370944,-0.26773998990051306,-0.39439301120491643,0.46755952065583584,-0.1505453782180586,0.4753265602322206
AAPL/buy_hold,1380,1.4520681888079725,0.17796403128014138,0.27744508408342433,0.5844108706738541,0.8590500337479862,0.3336051995314503,0.5334570070553232,0.5305232558139535
AMZN/ml,1380,-0.4407842382215008,-0.10069749289105945,0.34776806443992037,-0.246305359906158,-0.3467475885182553,0.5531542708801571,-0.1820423310315106,0.49673202614379086
AMZN/buy_hold,1380,0.5215430480020637,0.07965919558618917,0.34779995440357536,0.27906138924589746,0.40206060990922815,0.5614526325328255,0.1418805273506877,0.5181686046511628
GOOGL/ml,1380,-0.3178655119286967,-0.06746912697217311,0.3123831685727126,-0.19518509591727276,-0.2715524697043564,0.5698487918591284,-0.11839829782222662,0.5068990559186638
GOOGL/buy_hold,1380,3.202942303628311,0.2997693098641989,0.31143342696234627,0.8690669858381981,1.2986966229903196,0.4432004195816408,0.6763741562951728,0.5352214960058097
JNJ/ml,1380,-0.2658241695426068,-0.05486482137275106,0.1706729139126787,-0.47988386605981853,-0.6847210936916355,0.5346363956754776,-0.10262081260560833,0.4880174291938998
JNJ/buy_hold,1380,0.9568484189289672,0.13042271926798277,0.17024037826459537,0.5702980061689417,0.8397632660230379,0.1841166216264546,0.7083701521125626,0.5188953488372093
JPM/ml,1380,-0.43477872454288047,-0.09894159183265616,0.2437451702002333,-0.4697990371656984,-0.6539605998110589,0.5362329449925389,-0.18451233322494354,0.49311094996374183
JPM/buy_hold,1380,2.0517175228683806,0.2259761127187918,0.24260195358521092,0.7963294824185454,1.156543983336402,0.38771586962364313,0.5828394719518379,0.5377358490566038
META/ml,1380,-0.853817348019811,-0.2961133669350179,0.43353709386191225,-0.6782066422064541,-0.8916747247410648,0.8685767611428896,-0.3409179017700017,0.4847605224963715
META/buy_hold,1380,1.1842611055355028,0.1533469241875438,0.4329684304013888,0.45577872475546377,0.6593807455378199,0.7673609262318319,0.1998367638297174,0.5156136528685549
MSFT/ml,1380,-0.6715228344436657,-0.18396339119784333,0.2665108594456046,-0.7793139437184312,-1.0681388193040071,0.7192526526786698,-0.2557701949554436,0.46879535558780844
MSFT/buy_hold,1380,0.8758759524913549,0.12173287295262258,0.26591198819246165,0.4144953421085375,0.5969512426205354,0.3714847219350914,0.3276928114795867,0.5166908563134979
NVDA/ml,1380,1.752031147882609,0.20305234471175249,0.5109387438539138,0.5370693083722596,0.8030031704299952,0.7331722049401772,0.2769504126637212,0.5098039215686274
NVDA/buy_hold,1380,13.902567496492896,0.6377502661276964,0.5107877108674214,1.1411151260501118,1.766092637131575,0.6633508567837769,0.9614071642566292,0.5344952795933188
TSLA/ml,1380,0.3744851089948369,0.05980404399313133,0.5929604648007037,0.32634563785303566,0.4724947444470971,0.7417561687898169,0.08062493648108417,0.5159651669085631
TSLA/buy_hold,1380,0.6158217712377403,0.09157720297672589,0.5932821651208334,0.37485069608551036,0.5546100141046764,0.736322174421912,0.12437110568973879,0.5166908563134979
XOM/ml,1380,-0.719110951391583,-0.20695531206064777,0.2738527499232174,-0.8552859397362675,-1.154861239245586,0.7945498023503783,-0.260468647085995,0.48183139534883723
XOM/buy_hold,1380,3.0924098559800353,0.29345912567419186,0.2723359946195348,0.9347375530254648,1.3579386533868283,0.2050866157957808,1.430903350447841,0.5377906976744186
PORTFOLIO/ml,1380,-0.1862495760219821,-0.036936507962824106,0.1348721034577574,-0.5083322902467827,-0.7242570464224317,0.34741129749416777,-0.10631924819153063,0.4807831762146483
PORTFOLIO/buy_hold,1380,2.590937368036494,0.2629488963283404,0.22478364766996206,0.9731643768606532,1.4283968638473328,0.3345244987341821,0.7860377859418999,0.551849166062364
